id,phase,priority,title,dependencies,touchpoints,done_when,status
P00-T01_BRAND_AND_PRODUCT_CONTRACT,P00,P0,Arbitra/PaperMind marka ve ürün sözleşmesini tekilleştir,,web/src/lib/brand.ts;web/src/components/review/ArbitraWordmark.tsx;web/src/app/(marketing)/landing/page.tsx;README.md;docs/ARCHITECTURE.md,Tek marka sözleşmesi var. | UI copy çelişmiyor. | Agent ve insan aynı product definition ile ilerliyor.,not_started
P00-T02_REPO_REALITY_DOC_SYNC,P00,P0,README/ARCHITECTURE/SECURITY gerçek kodla eşitlensin,P00-T01_BRAND_AND_PRODUCT_CONTRACT,README.md;docs/ARCHITECTURE.md;docs/STATE.md;docs/NEXT_ACTION.md;pyproject.toml;web/package.json,Ana docs gerçek kodu yansıtıyor. | Hayali worker/provider iddiası yok.,not_started
P00-T03_AUTONOMOUS_STATE_AND_LEDGER,P00,P0,Otonom ilerleme state/ledger dosyalarını aktifleştir,P00-T02_REPO_REALITY_DOC_SYNC,docs/worldclass/STATE.md;docs/worldclass/TASKS/backlog.csv;docs/worldclass/TEMPLATES/pr_template.md,Her task sonunda güncellenecek tek state dosyası var.,not_started
P01-T01_KILL_PRODUCTION_MOCK_AUTH,P01,P0,Production mock auth ve dev token üretimini imkânsız yap,P00-T03_AUTONOMOUS_STATE_AND_LEDGER,web/src/lib/auth.ts;api/middleware/auth.py;api/config.py;.env.example;.github/workflows/polish_gate.yml,Production build mock auth ile alınamaz. | Dev auth local developer deneyimini kırmadan izole.,not_started
P01-T02_OBJECT_LEVEL_AUTHORIZATION_MATRIX,P01,P0,Review domain için object-level authorization matrisi ve testleri,P01-T01_KILL_PRODUCTION_MOCK_AUTH,api/routes/review.py;api/services/review_service.py;api/db/supabase_client.py;tests/unit/test_middleware.py;tests/integration/test_review_routes.py,Kritik review endpointlerinin tamamında BOLA testi var.,not_started
P01-T03_CONFIDENTIALITY_AND_EXTERNAL_AI_CONSENT,P01,P0,Confidential manuscript mode ve external AI consent gate,P01-T02_OBJECT_LEVEL_AUTHORIZATION_MATRIX,api/models/review.py;api/routes/review.py;api/services/review_service.py;web/src/app/(app)/review/page.tsx;web/src/lib/review-api.ts;db/migrations/0041_review_domain.sql,Confidential flow external AI kullanmadan çalışabiliyor veya açıkça degraded gösteriyor.,not_started
P01-T04_FAIL_CLOSED_RATE_LIMIT_AND_QUOTA,P01,P0,Production rate-limit/quota fail-closed davranışı,P01-T01_KILL_PRODUCTION_MOCK_AUTH,api/middleware/rate_limit.py;api/middleware/tier_gate.py;api/db/redis_client.py;api/config.py;.env.example,Production quota Redis/real backing olmadan bypass olmuyor.,not_started
P01-T05_FILE_SECURITY_AND_RETENTION_BASELINE,P01,P0,"Dosya güvenliği, parser sandbox ve retention baseline",P01-T03_CONFIDENTIALITY_AND_EXTERNAL_AI_CONSENT,engine/ingestion/zip_handler.py;engine/ingestion/pdf_parser.py;engine/ingestion/docx_parser.py;engine/ingestion/latex_parser.py;api/services/manuscript_service.py;db/migrations/0041_review_domain.sql,Untrusted file parser sınırları ve delete flow testli.,not_started
P02-T01_REVIEW_JOB_STAGE_SCHEMA,P02,P0,Review job stage/progress schema genişletmesi,P01-T05_FILE_SECURITY_AND_RETENTION_BASELINE,api/models/review.py;db/migrations/0041_review_domain.sql;web/src/lib/review-api.ts;web/src/hooks/useReview.ts,Job progress tek numeric bar değil stage-based contract taşıyor.,not_started
P02-T02_DURABLE_WORKFLOW_ADAPTER,P02,P0,BackgroundTasks yerine durable workflow adapter interface,P02-T01_REVIEW_JOB_STAGE_SCHEMA,api/routes/review.py;api/services/review_service.py;api/services/review_orchestration.py;api/services/progress_service.py;pyproject.toml;docs/backend/celery_setup.md,API process restart senaryosu job kaybına yol açmayacak şekilde tasarlandı/uygulandı.,not_started
P02-T03_PROVIDER_ABSTRACTION_FOUNDATION,P02,P0,Scholarly provider abstraction temeli,P02-T01_REVIEW_JOB_STAGE_SCHEMA,api/services/openalex_polite.py;api/services/papers_hydration_service.py;api/services/citation_service.py;api/config.py;tests/fixtures/openalex_search.json,Review/citation servisleri provider-specific parametre bilmeden çalışabilecek interface’e sahip.,not_started
P02-T04_OPENALEX_API_KEY_MIGRATION,P02,P0,OpenAlex mailto/polite mirasını API-key provider client’a taşı,P02-T03_PROVIDER_ABSTRACTION_FOUNDATION,api/services/openalex_polite.py;api/providers/openalex/client.py;api/config.py;.env.example;tests/unit/test_openalex_polite.py,"OpenAlex provider yeni abstraction ile çalışıyor, mailto/polite production path’te yok.",not_started
P02-T05_DEGRADED_MODE_AND_PROVENANCE_PIPELINE,P02,P0,Silent fallback yerine görünür degraded/provenance pipeline,P02-T04_OPENALEX_API_KEY_MIGRATION,api/models/review.py;api/services/review_service.py;api/services/review_orchestration.py;web/src/components/review/ReviewReportView.tsx,Sistem hiçbir akademik bulguyu sessiz fallback ile tam güvenilir gibi sunmuyor.,not_started
P03-T01_MANUSCRIPT_TYPE_CLASSIFIER,P03,P0,Belge türü sınıflandırıcı: makale/bildiri/tez/proje,P02-T05_DEGRADED_MODE_AND_PROVENANCE_PIPELINE,api/models/review.py;api/services/review_orchestration.py;engine/ingestion/builder.py;tests/unit/test_review_orchestration.py,Review job belge türünü confidence ile saklıyor ve rubrik seçimi buna bağlanıyor.,not_started
P03-T02_STUDY_DESIGN_CLASSIFIER,P03,P0,Çalışma türü sınıflandırıcı,P03-T01_MANUSCRIPT_TYPE_CLASSIFIER,api/models/review.py;api/services/review_orchestration.py;engine/checklist/*;tests/unit/test_review_orchestration.py,Aynı belge türü altında farklı çalışma türleri farklı review path’e gidiyor.,not_started
P03-T03_RUBRIC_REGISTRY_AND_DIMENSION_SCHEMA,P03,P0,RubricRegistry ve genişletilmiş akademik dimension schema,P03-T02_STUDY_DESIGN_CLASSIFIER,api/models/review.py;engine/checklist/makale_tr.json;engine/checklist/tez_tr.json;api/services/review_orchestration.py,ReviewReport generic DimensionScore yerine zengin academic dimension taşıyabiliyor.,not_started
P03-T04_QUALITATIVE_RIGOR_ENGINE,P03,P0,Nitel araştırma hakemlik motoru,P03-T03_RUBRIC_REGISTRY_AND_DIMENSION_SCHEMA,api/services/review_orchestration.py;api/services/role_modules/reviewer_yontemci.py;engine/checklist/*;tests/unit/test_review_orchestration.py,"Nitel çalışma raporu generic yöntem eleştirisi değil, nitel rigor boyutları içeriyor.",not_started
P03-T05_QUANTITATIVE_VALIDITY_ENGINE,P03,P0,Nicel/istatistiksel geçerlilik motoru MVP,P03-T03_RUBRIC_REGISTRY_AND_DIMENSION_SCHEMA,engine/statcheck/multilingual.json;api/services/review_orchestration.py;api/models/review.py;tests/unit/test_review_eval.py,"Nicel review yöntem/istatistik alanında uygulanabilir, anchor’lı riskler üretiyor.",not_started
P03-T06_REPORTING_GUIDELINE_SELECTOR,P03,P1,Reporting guideline selector ve checklist engine,P03-T04_QUALITATIVE_RIGOR_ENGINE;P03-T05_QUANTITATIVE_VALIDITY_ENGINE,engine/checklist/*;api/services/review_orchestration.py;api/models/review.py;web/src/components/review/ReviewReportView.tsx,Çalışma türüne göre guideline uyumu ayrı bölüm olarak raporlanıyor.,not_started
